"ip.src","ip.dst","ip.len","ip.flags.df","ip.flags.mf","ip.fragment","ip.fragment.count","ip.fragments","ip.ttl","ip.proto","tcp.window_size","tcp.ack","tcp.seq","tcp.len","tcp.stream","tcp.urgent_pointer","tcp.flags","tcp.analysis.ack_rtt","tcp.segments","tcp.reassembled.length","http.request","udp.port","frame.time_relative","frame.time_delta","tcp.time_relative","tcp.time_delta"
"","","","","","","","","","","","","","","","","","","","","","","0.000000000","0.000000000","",""
"","","","","","","","","","","","","","","","","","","","","","","4.724600000","4.724600000","",""
"","","","","","","","","","","","","","","","","","","","","","","7.588901000","2.864301000","",""
"","","","","","","","","","","","","","","","","","","","","","","9.412412000","1.823511000","",""
"","","","","","","","","","","","","","","","","","","","","","","14.162453000","4.750041000","",""
"","","","","","","","","","","","","","","","","","","","","","","18.891248000","4.728795000","",""
"","","","","","","","","","","","","","","","","","","","","","","23.560004000","4.668756000","",""
"","","","","","","","","","","","","","","","","","","","","","","28.313216000","4.753212000","",""
"","","","","","","","","","","","","","","","","","","","","","","33.040141000","4.726925000","",""
"","","","","","","","","","","","","","","","","","","","","","","37.817097000","4.776956000","",""
"","","","","","","","","","","","","","","","","","","","","","","42.088506000","4.271409000","",""
"","","","","","","","","","","","","","","","","","","","","","","46.840560000","4.752054000","",""
"","","","","","","","","","","","","","","","","","","","","","","51.560591000","4.720031000","",""
"","","","","","","","","","","","","","","","","","","","","","","56.349093000","4.788502000","",""
"","","","","","","","","","","","","","","","","","","","","","","61.101072000","4.751979000","",""
"","","","","","","","","","","","","","","","","","","","","","","65.771858000","4.670786000","",""
"","","","","","","","","","","","","","","","","","","","","","","70.533969000","4.762111000","",""
"","","","","","","","","","","","","","","","","","","","","","","75.260709000","4.726740000","",""
"","","","","","","","","","","","","","","","","","","","","","","80.042619000","4.781910000","",""
"","","","","","","","","","","","","","","","","","","","","","","84.795016000","4.752397000","",""
"","","","","","","","","","","","","","","","","","","","","","","89.526078000","4.731062000","",""
"","","","","","","","","","","","","","","","","","","","","","","94.255422000","4.729344000","",""
"","","","","","","","","","","","","","","","","","","","","","","99.018734000","4.763312000","",""
"","","","","","","","","","","","","","","","","","","","","","","103.783923000","4.765189000","",""
"","","","","","","","","","","","","","","","","","","","","","","108.540484000","4.756561000","",""
