"ip.src","ip.dst","ip.len","ip.flags.df","ip.flags.mf","ip.fragment","ip.fragment.count","ip.fragments","ip.ttl","ip.proto","tcp.window_size","tcp.ack","tcp.seq","tcp.len","tcp.stream","tcp.urgent_pointer","tcp.flags","tcp.analysis.ack_rtt","tcp.segments","tcp.reassembled.length","http.request","udp.port","frame.time_relative","frame.time_delta","tcp.time_relative","tcp.time_delta"
"10.10.10.1","10.10.10.255","78","Not set","Not set","","","","128","UDP","","","","","","","","","","","","137,137","0.000000000","0.000000000","",""
"10.10.10.1","10.10.10.255","78","Not set","Not set","","","","128","UDP","","","","","","","","","","","","137,137","0.749871743","0.749871743","",""
"10.10.10.1","10.10.10.255","78","Not set","Not set","","","","128","UDP","","","","","","","","","","","","137,137","1.502094562","0.752222819","",""
"10.10.10.130","10.10.10.2","64","Set","Not set","","","","64","UDP","","","","","","","","","","","","52979,53","2.321335618","0.819241056","",""
"10.10.10.130","10.10.10.2","64","Set","Not set","","","","64","UDP","","","","","","","","","","","","52979,53","2.322052450","0.000716832","",""
"10.10.10.2","10.10.10.130","256","Not set","Not set","","","","64","UDP","","","","","","","","","","","","53,52979","2.326342511","0.004290061","",""
"10.10.10.2","10.10.10.130","400","Not set","Not set","","","","64","UDP","","","","","","","","","","","","53,52979","2.326864012","0.000521501","",""
"10.10.10.130","104.16.30.34","60","Set","Not set","","","","64","TCP","64240","0","0","0","0","0","0x002","","","","","","2.414290244","0.087426232","0.000000000","0.000000000"
"10.10.10.130","104.16.30.34","60","Set","Not set","","","","64","TCP","64240","0","0","0","0","0","0x002","","","","","","3.440357565","1.026067321","1.026067321","1.026067321"
"10.10.10.130","104.16.30.34","60","Set","Not set","","","","64","TCP","64240","0","0","0","0","0","0x002","","","","","","5.897173265","2.456815700","3.482883021","2.456815700"
"10.10.10.130","10.10.10.1","43","Set","Not set","","","","64","TCP","501","1","1","3","1","0","0x018","","","","","","5.957858255","0.060684990","0.000000000","0.000000000"
"10.10.10.1","10.10.10.130","47","Set","Not set","","","","128","TCP","512","4","1","7","1","0","0x018","0.002085868","","","","","5.959944123","0.002085868","0.002085868","0.002085868"
"10.10.10.130","10.10.10.1","40","Set","Not set","","","","64","TCP","501","8","4","0","1","0","0x010","0.000037193","","","","","5.959981316","0.000037193","0.002123061","0.000037193"
"","","","","","","","","","","","","","","","","","","","","","","7.376833172","1.416851856","",""
