ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
168430210,168430081,43,1,0,0.0,0.0,0.0,64,6,501.0,1.0,1.0,3.0,0.0,0.0,24,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
168430081,168430210,47,1,0,0.0,0.0,0.0,128,6,512.0,4.0,1.0,7.0,0.0,0.0,24,0.002401666,0.0,0.0,0,0,0.002401666,0.002401666,0.002401666,0.002401666
168430210,168430081,40,1,0,0.0,0.0,0.0,64,6,501.0,8.0,4.0,0.0,0.0,0.0,16,4.1689e-05,0.0,0.0,0,0,0.002443355,4.1689e-05,0.002443355,4.1689e-05
168430081,168430210,52,1,0,0.0,0.0,0.0,128,6,64240.0,0.0,0.0,0.0,1.0,0.0,194,0.0,0.0,0.0,0,0,2.937082152,2.934638797,0.0,0.0
168430210,168430081,52,1,0,0.0,0.0,0.0,64,6,64240.0,1.0,0.0,0.0,1.0,0.0,18,7.3975e-05,0.0,0.0,0,0,2.937156127,7.3975e-05,7.3975e-05,7.3975e-05
168430081,168430210,52,1,0,0.0,0.0,0.0,128,6,64240.0,0.0,0.0,0.0,2.0,0.0,194,0.0,0.0,0.0,0,0,2.937446971,0.000290844,0.0,0.0
168430210,168430081,52,1,0,0.0,0.0,0.0,64,6,64240.0,1.0,0.0,0.0,2.0,0.0,18,2.0577e-05,0.0,0.0,0,0,2.937467548,2.0577e-05,2.0577e-05,2.0577e-05
168430081,168430210,40,1,0,0.0,0.0,0.0,128,6,131328.0,1.0,1.0,0.0,1.0,0.0,16,0.000490155,0.0,0.0,0,0,2.937646282,0.000178734,0.00056413,0.000490155
168430081,168430210,40,1,0,0.0,0.0,0.0,128,6,131328.0,1.0,1.0,0.0,2.0,0.0,16,0.000228754,0.0,0.0,0,0,2.937696302,5.002e-05,0.000249331,0.000228754
168430081,168430210,581,1,0,0.0,0.0,0.0,128,6,131328.0,1.0,1.0,541.0,1.0,0.0,24,0.0,0.0,0.0,1,0,2.938294735,0.000598433,0.001212583,0.000648453
168430210,168430081,40,1,0,0.0,0.0,0.0,64,6,64128.0,542.0,1.0,0.0,1.0,0.0,16,2.3847e-05,0.0,0.0,0,0,2.938318582,2.3847e-05,0.00123643,2.3847e-05
168430081,168430210,590,1,0,0.0,0.0,0.0,128,6,131328.0,1.0,1.0,550.0,2.0,0.0,24,0.0,0.0,0.0,1,0,2.938503619,0.000185037,0.001056648,0.000807317
168430210,168430081,40,1,0,0.0,0.0,0.0,64,6,64128.0,551.0,1.0,0.0,2.0,0.0,16,1.334e-05,0.0,0.0,0,0,2.938516959,1.334e-05,0.001069988,1.334e-05
168430210,168430081,300,1,0,0.0,0.0,0.0,64,6,64128.0,551.0,1.0,260.0,2.0,0.0,24,0.0,0.0,0.0,0,0,3.307013423,0.368496464,0.369566452,0.368496464
168430081,168430210,40,1,0,0.0,0.0,0.0,128,6,131072.0,261.0,551.0,0.0,2.0,0.0,16,0.01087298,0.0,0.0,0,0,3.317886403,0.01087298,0.380439432,0.01087298
168430210,168430081,330,1,0,0.0,0.0,0.0,64,6,64128.0,542.0,1.0,290.0,1.0,0.0,24,0.0,0.0,0.0,0,0,3.398443024,0.080556621,0.461360872,0.460124442
168430081,168430210,40,1,0,0.0,0.0,0.0,128,6,131072.0,291.0,542.0,0.0,1.0,0.0,16,0.0110189,0.0,0.0,0,0,3.409461924,0.0110189,0.472379772,0.0110189
168430081,168430210,52,1,0,0.0,0.0,0.0,128,6,64240.0,0.0,0.0,0.0,3.0,0.0,194,0.0,0.0,0.0,0,0,3.559396838,0.149934914,0.0,0.0
168430210,168430081,52,1,0,0.0,0.0,0.0,64,6,64240.0,1.0,0.0,0.0,3.0,0.0,18,7.7429e-05,0.0,0.0,0,0,3.559474267,7.7429e-05,7.7429e-05,7.7429e-05
168430081,168430210,677,1,0,0.0,0.0,0.0,128,6,131072.0,291.0,542.0,637.0,1.0,0.0,24,0.0,0.0,0.0,1,0,3.559953298,0.000479031,0.622871146,0.150491374
