"ip.src","ip.dst","ip.len","ip.flags.df","ip.flags.mf","ip.fragment","ip.fragment.count","ip.fragments","ip.ttl","ip.proto","tcp.window_size","tcp.ack","tcp.seq","tcp.len","tcp.stream","tcp.urgent_pointer","tcp.flags","tcp.analysis.ack_rtt","tcp.segments","tcp.reassembled.length","http.request","udp.port","frame.time_relative","frame.time_delta","tcp.time_relative","tcp.time_delta"
"10.10.10.130","10.10.10.1","43","Set","Not set","","","","64","TCP","501","1","1","3","0","0","0x018","","","","","","0.000000000","0.000000000","0.000000000","0.000000000"
"10.10.10.1","10.10.10.130","47","Set","Not set","","","","128","TCP","512","4","1","7","0","0","0x018","0.002401666","","","","","0.002401666","0.002401666","0.002401666","0.002401666"
"10.10.10.130","10.10.10.1","40","Set","Not set","","","","64","TCP","501","8","4","0","0","0","0x010","0.000041689","","","","","0.002443355","0.000041689","0.002443355","0.000041689"
"10.10.10.1","10.10.10.130","52","Set","Not set","","","","128","TCP","64240","0","0","0","1","0","0x0c2","","","","","","2.937082152","2.934638797","0.000000000","0.000000000"
"10.10.10.130","10.10.10.1","52","Set","Not set","","","","64","TCP","64240","1","0","0","1","0","0x012","0.000073975","","","","","2.937156127","0.000073975","0.000073975","0.000073975"
"10.10.10.1","10.10.10.130","52","Set","Not set","","","","128","TCP","64240","0","0","0","2","0","0x0c2","","","","","","2.937446971","0.000290844","0.000000000","0.000000000"
"10.10.10.130","10.10.10.1","52","Set","Not set","","","","64","TCP","64240","1","0","0","2","0","0x012","0.000020577","","","","","2.937467548","0.000020577","0.000020577","0.000020577"
"10.10.10.1","10.10.10.130","40","Set","Not set","","","","128","TCP","131328","1","1","0","1","0","0x010","0.000490155","","","","","2.937646282","0.000178734","0.000564130","0.000490155"
"10.10.10.1","10.10.10.130","40","Set","Not set","","","","128","TCP","131328","1","1","0","2","0","0x010","0.000228754","","","","","2.937696302","0.000050020","0.000249331","0.000228754"
"10.10.10.1","10.10.10.130","581","Set","Not set","","","","128","TCP","131328","1","1","541","1","0","0x018","","","","True","","2.938294735","0.000598433","0.001212583","0.000648453"
"10.10.10.130","10.10.10.1","40","Set","Not set","","","","64","TCP","64128","542","1","0","1","0","0x010","0.000023847","","","","","2.938318582","0.000023847","0.001236430","0.000023847"
"10.10.10.1","10.10.10.130","590","Set","Not set","","","","128","TCP","131328","1","1","550","2","0","0x018","","","","True","","2.938503619","0.000185037","0.001056648","0.000807317"
